link;produk;harga;layar;chipset;memori;ram;kamera;os;rating
https://www.hallogsm.com/harga-hp/vivo-y18/;Vivo Y18;Rp1.699.000;IPS LCD 6.56 inci;Mediatek MT6769Z Helio G85 (12nm);64 GB / 128 GB;4 GB;Belakang Dual 50 MP + 0.08 MP, Depan 8 MP;Android 14;7.4
https://www.hallogsm.com/harga-hp/nokia-235-4g-2024/;Nokia 235 4G (2024);Rp9.999.999;TFT LCD 2.8 inci;Unisoc T107 (22 nm);128 MB;64 MB;Belakang 2 MP, Depan Tidak Ada;S30+;5.8
https://www.hallogsm.com/harga-hp/nokia-225-4g-2024/;Nokia 225 4G (2024);Rp9.999.999;TFT LCD 2.4 inci;Unisoc T107 (22 nm);128 MB;64 MB;Belakang 0.3 MP, Depan Tidak Ada;S30+;6.6
https://www.hallogsm.com/harga-hp/nokia-215-4g-2024/;Nokia 215 4G (2024);Rp9.999.999;TFT LCD 2.8 inci;Unisoc T107 (22 nm);128 MB;64 MB;Tidak Ada;S30+​;7.2
https://www.hallogsm.com/harga-hp/htc-a101-plus/;HTC A101 Plus;Rp2.599.000;IPS LCD 10.95 inci;Unisoc T606 (12 nm);128 GB;8 GB;Belakang Dual 13 MP + QVGA, Depan 8 MP;Android 14;7.4
https://www.hallogsm.com/harga-hp/htc-a104/;HTC A104;Rp3.099.000;IPS LCD 10.36 inci;Unisoc T606 (12 nm);128 GB;8 GB;Belakang 5 MP, Depan 5 MP;Android 13;7.4
https://www.hallogsm.com/harga-hp/vivo-y38/;Vivo Y38;Rp9.999.999;IPS LCD 6.68 inci;Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm);256 GB;8 GB;Belakang Dual 50 MP + 2 MP, Depan 8 MP;Android 14;7.8
https://www.hallogsm.com/harga-hp/vivo-v30e/;Vivo V30e;Rp4.699.000;AMOLED 6.78 inci;Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm);128 GB / 256 GB;8 GB;Belakang Dual 50 MP + 8 MP, Depan 50 MP;Android 14;8.2
https://www.hallogsm.com/harga-hp/vivo-v30-se/;Vivo V30 SE;Rp4.399.000;AMOLED 6.67 inci;Qualcomm Snapdragon 4 Gen 2 (4 nm);256 GB;8 GB;Belakang Triple 50 MP + 8 MP + 2 MP, Depan 16 MP;Android 14;8.6
https://www.hallogsm.com/harga-hp/xiaomi-redmi-note-13-pro-world-champions-edition/;Xiaomi Redmi Note 13 Pro+ World Champions Edition;Rp7.499.000;OLED 6.67 inci;Mediatek Dimensity 7200 Ultra (4 nm);512 GB;12 GB;Belakang Triple 200 MP + 8 MP + 2 MP, Depan 16 MP;Android 13;8.6
https://www.hallogsm.com/harga-hp/vivo-y18e/;Vivo Y18e;Rp1.299.000;IPS LCD 6.56 inci;Mediatek MT6769Z Helio G85 (12nm);Mediatek MT6769Z Helio G85 (12nm);4 GB;Belakang Dual 13 MP + 0.08 MP, Depan 5 MP;Android 14;7.4
https://www.hallogsm.com/harga-hp/infinix-gt-20-pro/;Infinix GT 20 Pro;Rp4.399.000;AMOLED 6.78 inci;Mediatek Dimensity 8200 Ultimate (4 nm);256 GB;8 GB / 12 GB;Belakang Triple 108 MP + 2 MP + 2 MP, Depan 32 MP;Android 14;8
https://www.hallogsm.com/harga-hp/realme-12x-china/;Realme 12x (China);Rp3.699.000;IPS LCD 6.67 inci;Mediatek Dimensity 6300 (6 nm);256 GB / 512 GB;12 GB;Belakang Dual 50 MP + 2 MP, Depan 8 MP;Android 14;7.8
https://www.hallogsm.com/harga-hp/realme-c65-5g/;Realme C65 5G;Rp2.099.000;IPS LCD 6.67 inci;Mediatek Dimensity 6300 (6 nm);64 GB / 128 GB;4 GB / 6 GB;Belakang Dual 50 MP + 2 MP, Depan 8 MP;Android 14;7.8
https://www.hallogsm.com/harga-hp/honor-200-lite/;Honor 200 Lite;Rp5.799.000;AMOLED 6.7 inci;Mediatek Dimensity 6080 (6 nm);256 GB;8 GB;Belakang Triple 108 MP + 5 MP + 2 MP, Depan 50 MP;Android 14;7.8
https://www.hallogsm.com/harga-hp/hmd-pulse-plus/;HMD Pulse+;Rp2.799.000;IPS LCD 6.56 inci;Unisoc T606 (12 nm);64 GB;4 GB / 6 GB;Belakang Dual 50 MP + AI, Depan 8 MP;Android 14;7.2
https://www.hallogsm.com/harga-hp/oppo-k12/;Oppo K12;Rp4.299.000;AMOLED 6.7 inci;Qualcomm Snapdragon 7 Gen 3 (4 nm);256 GB / 512 GB;8 GB / 12 GB;Belakang Dual 50 MP + 8 MP, Depan 16 MP;Android 14;8.2
https://www.hallogsm.com/harga-hp/vivo-iqoo-z9-turbo/;Vivo iQOO Z9 Turbo;Rp4.499.000;AMOLED 6.78 inci;Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm);256 GB / 512 GB;12 GB;Belakang Dual 50 MP + 8 MP, Depan 16 MP;Android 14;8.6
https://www.hallogsm.com/harga-hp/vivo-iqoo-z9-china/;Vivo iQOO Z9 (China);Rp3.399.000;AMOLED 6.78 inci;Qualcomm Snapdragon 7 Gen 3 (4 nm);128 GB / 256 GB / 512 GB;8 GB / 12 GB;Belakang Dual 50 MP + 2 MP, Depan 16 MP;Android 14;8.4
https://www.hallogsm.com/harga-hp/vivo-iqoo-z9x/;Vivo iQOO Z9x;Rp2.699.000;IPS LCD 6.72 inci;Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm);128 GB / 256 GB;8 GB / 12 GB;Belakang Dual 50 MP + 2 MP, Depan 8 MP;Android 14;7.8
https://www.hallogsm.com/harga-hp/realme-narzo-70x-5g/;Realme Narzo 70x 5G;Rp2.399.000;IPS LCD 6.72 inci;Mediatek Dimensity 6100+ (6 nm);128 GB / 256 GB;4 GB / 6 GB;Belakang Dual 50 MP + 2 MP, Depan 8 MP;Android 14;7.6
